title,status,latitude,longitude,geometry,kind,date,capacity,emissions,age,owner,fuel,maps,retirement
Herne,Open,51.5507,7.1875,Point,plant,15/1/2020,500 MW,1.3,31,STEAG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.5507000,7.1875000&zoom=16&basemap=satellite",0
Mehrum,Open,52.315,10.0914,Point,plant,15/1/2020,750 MW,2.3,41,EPH,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=52.3150000,10.0914000&zoom=16&basemap=satellite",0
Waehlitz,Open,51.1663,12.0764,Point,plant,15/1/2020,37 MW,0.2,26,EPH,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=51.1663000,12.0764000&zoom=16&basemap=satellite",0
Ibbenbueren,Open,52.2888,7.7479,Point,plant,15/1/2020,838 MW,3,35,RWE,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=52.2888000,7.7479000&zoom=16&basemap=satellite",0
Karcherstr.,Open,49.435,7.7609,Point,plant,15/1/2020,15 MW,0,24,SWK - Stadtwerke Kaiserslautern,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=49.4350000,7.7609000&zoom=16&basemap=satellite",0
Karlsruhe,Open,49.0143,8.3042,Point,plant,15/1/2020,1462 MW,3.7,35,EnBW,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=49.0143000,8.3042000&zoom=16&basemap=satellite",0
Kassel,Open,51.2793,9.4833,Point,plant,15/1/2020,38 MW,0.2,32,City of Kassel,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=51.2793000,9.4833000&zoom=16&basemap=satellite",0
Kiel East,Retired,54.3387,10.177,Point,plant,15/1/2020,0 MW,1.3,Retired at the age of 49,Uniper,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=54.3387000,10.1770000&zoom=16&basemap=satellite",2019
Cologne-Merkenich,Open,51.0168,6.9634,Point,plant,15/1/2020,85 MW,0.5,10,Stadtwerke Köln GmbH (100% City of Cologne),Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=51.0168000,6.9634000&zoom=16&basemap=satellite",0
Leverkusen,Open,51.0222,6.9859,Point,plant,15/1/2020,112 MW,0.7,58,Currenta GmbH & Co. OHG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.0222000,6.9859000&zoom=16&basemap=satellite",0
Luenen,Retired,51.616,7.4781,Point,plant,15/1/2020,0 MW,1,Retired at the age of 56,STEAG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.6160000,7.4781000&zoom=16&basemap=satellite",2018
Luenen-Stummhafen,Open,51.6141,7.4652,Point,plant,15/1/2020,820 MW,3.2,7,Trianel Kohlekraftwerk Lünen GmbH & Co. KG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.6141000,7.4652000&zoom=16&basemap=satellite",0
Mannheim,Open,49.447,8.4925,Point,plant,15/1/2020,2146 MW,6.7,38,RWE,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=49.4470000,8.4925000&zoom=16&basemap=satellite",0
Marl,Open,51.6784,7.1031,Point,plant,15/1/2020,136 MW,1.6,49,Evonik,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.6784000,7.1031000&zoom=16&basemap=satellite",0
Offenbach,Open,50.1113,8.7454,Point,plant,15/1/2020,60 MW,0.2,30,MVV Energie AG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=50.1113000,8.7454000&zoom=16&basemap=satellite",0
Jaenschwalde,Open,51.8335,14.4577,Point,plant,15/1/2020,3210 MW,22.8,39,EPH,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=51.8335000,14.4577000&zoom=16&basemap=satellite",0
Petershagen Heyden,Open,52.3816,8.9986,Point,plant,15/1/2020,923 MW,1.7,33,Uniper,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=52.3816000,8.9986000&zoom=16&basemap=satellite",0
Pforzheim,Retiring,48.897,8.7255,Point,plant,15/1/2020,30 MW,0.1,30,SWP Stadtwerke Pforzheim GmbH & Co. KG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=48.8970000,8.7255000&zoom=16&basemap=satellite",2022
Quierschied-Weiher,Open,49.3356,7.0309,Point,plant,15/1/2020,724 MW,0,44,STEAG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=49.3356000,7.0309000&zoom=16&basemap=satellite",0
Rostock,Open,54.1428,12.1329,Point,plant,15/1/2020,553 MW,1.8,26,EnBW,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=54.1428000,12.1329000&zoom=16&basemap=satellite",0
Saarbruecken Roemerbruecke,Retired,49.2237,7.0148,Point,plant,15/1/2020,0 MW,0,Retired at the age of 0,Engie,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=49.2237000,7.0148000&zoom=16&basemap=satellite",0
Schkopau,Open,51.3985,11.9504,Point,plant,15/1/2020,980 MW,6.1,24,Uniper,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=51.3985000,11.9504000&zoom=16&basemap=satellite",0
Schwarze Pumpe,Open,51.5354,14.3538,Point,plant,15/1/2020,1600 MW,12.4,23,EPH,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=51.5354000,14.3538000&zoom=16&basemap=satellite",0
Schweinfurt,Open,50.0301,10.2236,Point,plant,15/1/2020,29 MW,0.1,30,GKS Gemeinschaftskraftwerk Schweinfurt GmbH,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=50.0301000,10.2236000&zoom=16&basemap=satellite",0
Stuttgart-Muenster,Open,48.8154,9.2197,Point,plant,15/1/2020,96 MW,0.3,38,EnBW,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=48.8154000,9.2197000&zoom=16&basemap=satellite",0
Krefeld-Uerdingen,Open,51.3682,6.6624,Point,plant,15/1/2020,148 MW,0.2,63,Currenta GmbH & Co. OHG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.3682000,6.6624000&zoom=16&basemap=satellite",0
Ulm Magirusstrasse,Open,48.3967,9.9654,Point,plant,15/1/2020,135 MW,0,42,EnBW,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=48.3967000,9.9654000&zoom=16&basemap=satellite",0
